"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 10 18:48:11 GMT 2022","Wed Aug 10 18:48:11 GMT 2022","493","Surefire suite","Surefire test","com.example.solution.ui.LoginTest","com.example.solution.ui.LoginTest","userTriesToLoginWithEmptyUsername","userTriesToLoginWithEmptyUsername",""
"passed","Wed Aug 10 18:48:11 GMT 2022","Wed Aug 10 18:48:12 GMT 2022","605","Surefire suite","Surefire test","com.example.solution.ui.LoginTest","com.example.solution.ui.LoginTest","userTriesToLoginWithIncorrectPassword","userTriesToLoginWithIncorrectPassword",""
"passed","Wed Aug 10 18:48:10 GMT 2022","Wed Aug 10 18:48:11 GMT 2022","539","Surefire suite","Surefire test","com.example.solution.ui.LoginTest","com.example.solution.ui.LoginTest","userTriesToLoginWithEmptyPassword","userTriesToLoginWithEmptyPassword",""
"passed","Wed Aug 10 18:48:06 GMT 2022","Wed Aug 10 18:48:10 GMT 2022","4040","Surefire suite","Surefire test","com.example.solution.ui.LoginTest","com.example.solution.ui.LoginTest","userLoginSuccessfully","userLoginSuccessfully",""
